Match;Competition;Date;Position;Minutes played;Total actions / successful;;Goals;Assists;Shots / on target;;xG;Passes / accurate;;Long passes / accurate;;Crosses / accurate;;Dribbles / successful;;Duels / won;;Aerial duels / won;;Interceptions;Losses / own half;;Recoveries / opp. half;;Yellow card;Red card;Defensive duels / won;;Loose ball duels / won;;Sliding tackles / successful;;Clearances;Fouls;Yellow cards;Red cards;Shot assists;Offensive duels / won;;Touches in penalty area;Offsides;Progressive runs;Fouls suffered;Through passes / accurate;;xA;Second assists;Passes to final third / accurate;;Passes to penalty area / accurate;;Received passes;Forward passes / accurate;;Back passes / accurate;;Conceded goals;xCG;Shots against;Saves / with reflexes;;Exits;Passes to GK / accurate;;Goal kicks;Short goal kicks;Long goal kicks
Barcelona - Mallorca 5:2;Spain. LaLiga;2019-12-07;RWF, CF;94;116;75;3;0;7;4;0,64;71;57;2;0;1;0;11;5;23;9;0;0;1;21;4;5;4;0;0;2;1;2;1;0;0;0;1;0;0;4;19;7;12;0;9;2;7;3;0,56;0;8;6;13;11;60;29;22;8;8;0;0;0;0;0;0;0;0;0;0;0
Atlético Madrid - Barcelona 0:1;Spain. LaLiga;2019-12-01;RWF;94;118;67;1;0;3;2;0,33;61;45;1;0;0;0;14;9;37;14;0;0;1;12;0;1;1;0;0;4;1;5;1;1;0;1;2;0;0;1;28;12;0;1;6;1;6;2;0,14;1;7;6;12;5;49;24;13;10;10;0;0;0;0;0;0;0;0;0;0;0
Leganés - Barcelona 1:2;Spain. LaLiga;2019-11-23;AMF, RWF;94;88;61;0;1;1;1;0,15;51;44;1;1;0;0;9;6;22;9;1;0;0;13;2;2;2;0;0;2;1;1;0;0;0;0;0;0;0;5;18;8;1;0;7;1;2;1;0,69;0;6;4;4;3;39;9;7;9;9;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Celta de Vigo 4:1;Spain. LaLiga;2019-11-09;CF, RWF;94;98;78;3;0;5;5;1,12;72;61;2;0;0;0;4;3;13;7;0;0;2;13;1;3;3;40;0;3;2;1;1;0;0;0;1;1;0;1;9;4;4;0;6;0;9;0;0,3;0;11;10;13;4;67;25;17;12;12;0;0;0;0;0;0;0;0;0;0;0
Levante - Barcelona 3:1;Spain. LaLiga;2019-11-02;CF, RWF;96;83;58;1;0;4;2;1,28;51;48;7;6;0;0;4;2;16;5;0;0;0;3;0;2;1;0;0;2;1;2;0;0;0;0;0;0;0;2;12;4;2;0;1;1;5;3;0,19;0;12;11;3;2;44;19;17;8;8;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Real Valladolid 5:1;Spain. LaLiga;2019-10-29;RWF;93;111;83;2;2;6;4;0,8;68;59;2;1;2;0;10;6;25;16;0;0;1;10;1;2;1;0;0;2;0;2;1;0;0;0;1;0;0;3;21;15;4;0;7;1;7;3;0,61;0;10;10;9;7;55;18;15;11;11;0;0;0;0;0;0;0;0;0;0;0
Eibar - Barcelona 0:3;Spain. LaLiga;2019-10-19;CF;93;76;43;1;1;3;1;0,6;41;28;4;1;0;0;10;7;20;9;1;0;0;12;0;3;3;0;0;1;1;1;0;0;0;0;0;0;0;2;17;8;5;2;5;1;12;3;0,6;0;10;5;6;3;32;12;8;7;6;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Sevilla 4:0;Spain. LaLiga;2019-10-06;RWF;94;103;79;1;0;5;3;0,21;62;51;6;4;1;0;6;4;26;18;1;1;0;10;1;4;3;0;0;2;2;5;4;0;0;0;0;0;0;1;18;11;4;1;9;1;5;1;0,29;0;9;7;7;2;51;21;15;11;10;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Villarreal 2:1;Spain. LaLiga;2019-09-24;CF;45;33;17;0;1;1;0;0,02;14;11;2;0;0;0;1;1;13;5;0;0;0;8;2;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;11;4;4;0;1;1;2;0;0,08;0;3;1;2;1;12;4;1;2;2;0;0;0;0;0;0;0;0;0;0;0
Granada - Barcelona 2:0;Spain. LaLiga;2019-09-21;CF;48;53;39;0;0;2;1;0,2;29;24;3;2;0;0;9;5;15;9;0;0;0;6;0;1;1;0;0;2;1;1;0;0;0;0;0;0;0;2;12;8;4;0;3;2;4;1;0,24;0;3;1;6;4;23;11;7;2;2;0;0;0;0;0;0;0;0;0;0;0
